"Last name, First name","Effective Date",Event,"Event Type",Credits
"Peeters, Dries",2025-01-02,"Nieuw jaar","Nieuw jaar - 2025",100
"Peeters, Dries",2025-02-11,"Tech event bijwonen","Kubernetes Community Days",150
"Peeters, Dries",2025-04-23,"Soft skill event bijwonen","Presenteren voor groepen",40
"Peeters, Dries",2025-06-18,"Afgetekende timesheet tijdig verzonden","Januari - juni 2025",60
"Peeters, Dries",2025-09-30,"Bootcamp","Platform engineering",120
"Peeters, Dries",2025-11-14,"Fun event bijwonen",Personeelsfeest,10
"Peeters, Dries",2025-12-02,"Credits ingeruild","Laptop upgrade",-210
"Peeters, Dries",2026-01-02,"Nieuw jaar","Nieuw jaar - 2026",100
"Peeters, Dries",2026-03-19,"Tech event bijwonen","Open Space Day",30
"Peeters, Dries",2026-07-01,"Tech event bijwonen",AI,50
"Meeus, Ana",2025-01-02,"Nieuw jaar","Nieuw jaar - 2025",100
"Meeus, Ana",2025-05-07,"Tech event bijwonen","Azure Bootcamp",80
"Meeus, Ana",2026-01-02,"Nieuw jaar","Nieuw jaar - 2026",100
"Meeus, Ana",2026-04-15,"Credits ingeruild","Extra verlofdag",-135
"Claes, Bram",2025-01-02,"Nieuw jaar","Nieuw jaar - 2025",100
"Claes, Bram",2025-10-08,"Tech event bijwonen",Techorama,115
"Claes, Bram",2026-01-02,"Nieuw jaar","Nieuw jaar - 2026",100
"Dhondt, Caro",2025-01-02,"Nieuw jaar","Nieuw jaar - 2025",100
"Dhondt, Caro",2025-11-14,"Fun event bijwonen",Personeelsfeest,10
"Dhondt, Caro",2026-01-02,"Nieuw jaar","Nieuw jaar - 2026",100
"Vermeulen, Elke",2025-01-02,"Nieuw jaar","Nieuw jaar - 2025",100
"Vermeulen, Elke",2026-01-02,"Nieuw jaar","Nieuw jaar - 2026",100
"Nolens, Frank",2025-01-02,"Nieuw jaar","Nieuw jaar - 2025",100
"Nolens, Frank",2025-11-14,"Fun event bijwonen",Personeelsfeest,10
"Nolens, Frank",2026-01-02,"Nieuw jaar","Nieuw jaar - 2026",100
"Raman, Gita",2025-01-02,"Nieuw jaar","Nieuw jaar - 2025",100
"Raman, Gita",2026-01-02,"Nieuw jaar","Nieuw jaar - 2026",100
"Willems, Hugo",2026-01-02,"Nieuw jaar","Nieuw jaar - 2026",100
